"","M_DONOR_1","M_DONOR_2","M_DONOR_3","M_DONOR_4","M_DONOR_6","M_DONOR_7","M_DONOR_8","M_DONOR_9"
"(1R,2S,4R)-2,7,7-Trimethylbicyclo[2.2.1]heptan-2-ol",0,0.07458431,0,0,0,0.03100407,0,0
"(2-Aziridinylethyl)amine",0,0,0,0,0,0,0.0395240998333333,0
"1-(2,4-Dihydroxyphenyl)-2-(4-methoxy-3-nitrophenyl)ethanone",0,0.000218998293333333,0,0,0,0,0,0
"1-(4-tert-Butylphenyl)propan-2-one",0,0,0.0224171553333333,0,0,0,0,0
"1-Bromo-1-chloropropanone",266053.333333333,0.000189468766666667,0,0.0008237767,0,0,0,0
"1-Bromo-2,3-dichlorobenzene",236565,0,0,0,0,0,0,0
"1-Butanamine, N-butyl-N-nitroso-",0,0,0,0.0022480455,0,0,0,0
"1-Butanol, 2-ethyl-",0,0.00393654266666667,0,0,0,0,0,0
"1-Butanol, 2-methyl-",0,0,0,0,0,0,0,0.0326157719666667
"1-Butanol, 3-methyl-",0,0,0.429353114,0,0.643372642466667,0,0,0.0696172773666667
"1-Decanol",0,0.0254922433333333,0,0.0086358396,0,0,0,0
"1-Decanol, 2-ethyl-",6088426,0,0,0,0,0,0,0
"1-Decanol, 2-hexyl-",0,0,0.771501641,0,0,0,0,0
"1-Heptanol",0,0.0358872833333333,0,0,0,0,0.01662226,0
"1-Heptanol, 4-methyl-",0,0,3.47426512633333,0.6358452238,0,0,0,0
"1-Heptanol, 6-methyl-",0,0.108688223333333,0,0.69561953,0,0,0,0.127324066033333
"1-Heptene",0,0,0,0,0,0,0,0.0388030071666667
"1-Heptene, 5-methyl-",0,0.190649766666667,0,0,0,0,0,0
"1-Hexanol, 2,2-dimethyl-",0,0.04707241,0,0,0,0,0,0
"1-Hexanol, 3,5,5-trimethyl-",0,0.01428329,0.318757768,0.156727289566667,0,0,0,0
"1-Hexanol, 4-methyl-",0,0,0.177977658,0.0362225791666667,0,0,0,0
"1-Hexanol, 5-methyl-2-(1-methylethyl)-",0,0,0,0.0770738608666667,0,0,0,0
"1-Hexene, 3,4-dimethyl-",0,0.14070435,0,0,0,0,0,0
"1-Hydroxy-2-butanone",0,0,0,0.00756644296666667,0,0,0,0
"1-Methyl-2-methylenecyclohexane",0,0,0,0,0.00159524626666667,0,0,0
"1-Methylcyclohexa-1,3-diene",0,0,0,0,0.0009433998,0,0,0
"1-Nonanol",0,0,0,0.00875885396666667,0,0,0,0.0116662760666667
"1-Nonylcycloheptane",0,0,0,0,0,0.004005256,0,0
"1-Octanol",0,0,0,0,0,0.0307879433333333,0,0
"1-Octanol, 2-butyl-",0,0.295012566666667,0,0,0,0,0,0
"1-Octen-3-one",0,0.0271089866666667,0,0,0,0,0,0
"1-Octene",0,0,0,0,0.0754061019333333,0.0190538733333333,0,0
"1-Octene, 3,7-dimethyl-",0,0.50446287,0,0,0,0,0,0.158053772133333
"1-Octene, 4-methyl-",0,0,0,0.1266955185,0,0,0,0
"1-Pentanol, 2-ethyl-4-methyl-",0,0.0247286433333333,0.685200904,0.0898894404,0,0,0,0
"1-Pentanol, 2-methyl-",0,0,0,0,0,0.00292171886666667,0,0
"1-Pentanol, 2,2,4-trimethyl-",0,0,0.078351213,0,0,0,0,0
"1-Pentanol, 3-methyl-",0,0,0,0.000453463566666667,0,0,0,0.0009014369
"1-Penten-3-ol",49545699.3333333,0,0.283410973,0,0,0,0,0
"1-Pentene, 2,4,4-trimethyl-",0,0,0,0.0261480399,0,0,0.0180202966666667,0
"1-Propanol, 2-(1-methylethoxy)-",0,0.177669566666667,0.757197398333333,0.0176184069333333,0,0,0,0
"1-Propanol, 2-methoxy-",0,0,0,0,0,0,0,0.0055977689
"1-Propanol, 2-methyl-",0,0,0,0,0,0,0,0.0946375357333333
"1-Propen-2-ol, acetate",0,0,0,0,0,0,0,0.0307975795
"1-Tetrazol-2-ylethanone",0,0.00534679266666667,0,0,0,0,0,0
"1-Undecanol",1145663.66666667,0,0,0,0,0,0,0
"1,1,1-Trifluoro-2-propanol",0,0,0,0,0.0812399204,0,0,0
"1,1,1,4,4,4-Hexafluorobut-2-ene",0,0,0,0,0,0.0203653866666667,0,0
"1,1'-Biphenyl, 2-methyl-",993953,0.002265504,0,0,0,0,0,0
"1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",929162.333333333,0,0,0,0,0,0,0
"1,2-Benzisothiazole",0,0.0353237929333333,0,0,0,0,0,0
"1,2-Ethanediol",0,0.0709628416666667,0,0,0,0,0,0
"1,2-Ethanediol, diformate",0,0,0,0.00245002806666667,0,0,0,0
"1,2-Ethanediol, monoformate",0,0.0237281566666667,0.405801369,0,0,0,0,0
"1,2-Propanediol, 1-acetate",0,0,0.0671771006666667,0,0,0,0,0
"1,2,3-Trifluorobenzene",0,0,0,0,0,0,0,0.0267455181
"1,2,5-Thiadiazole",0,0,0,0,0,0,0.000145839963333333,0
"1,3-Butadiyne",0,0,0,0,0,0,0,0.0023102081
"1,3-Cyclohexadiene",0,0,0,0,0,0,0,0.0158777208
"1,3-Cyclohexadiene, 1-methyl-4-(1-methylethyl)-",0,0,0,0,0,0.2642879,0,0
"1,3-Cyclopentadiene",2106935.66666667,0,0,0,0,0,0,0.0421884736666667
"1,3-Diazine",0,0,0,0,0.0010848879,0,0,0
"1,3-Dioxan-5-ol, 4,4,5-trimethyl-",873753,0,0,0,0,0,0,0
"1,3-Dioxolane, 2-pentadecyl-",0,0,0,0,0.0738059283333333,0.00101369823333333,0,0
"1,3-Dioxolane, 2,4,5-trimethyl-",0,0,0,0,0,0,0,0.0145083746
"1,3,5-Triazine",0,0.0030691539,0,0.00168125733333333,0,0,0,0
"1,3,5-Trifluorobenzene",113729230,0,0,0,0,0,0,0
"1,3,5-Trioxane",0,0.361869766666667,0,0,0,0.0136048333333333,0.2216181,0.00269337743333333
"1,3,5-Trioxepane",0,0.01528646,0,0,0,0,0,0
"1,3,8-p-Menthatriene",0,0.0294712333333333,0,0,0,0,0,0
"1,4-Benzenediol, 2,6-bis(1,1-dimethylethyl)-",0,0,0.224294164,0,0,0,0,0
"1,4-bis[2-(4-Methylphenyl)diazen-1-yl]piperazine",1920142.66666667,0,0,0,0,0,0,0
"1,4-Dioxan-2-ol",0,0,0,0.00342363973333333,0,0,0,0
"1,4-Methanobenzocyclodecene, 1,2,3,4,4a,5,8,9,12,12a-decahydro-",2331079.66666667,0,0,0,0,0,0,0.0030836668
"1,6-Dioxacyclododecane-7,12-dione",0,0,0.0407260826666667,0,0.0037130667,0.00154955,0,0.0016251171
