"","D1","D2_d0","D2_d1","D2_d2","D2_d3","D2_d4","D3_d0","D3_d2","D3_d3","D3_d4","D4_d0","D4_d1","D4_d3","D6_d0","D6_d1","D6_d2","D6_d3","D6_d4","D6_d5","D7_d0","D7_d1","D7_d2","D7_d4","D7_d5","D8_d0","D8_d1","D8_d2","D8_d3","D8_d4","D8_d5","D9_d0","D9_d1","D9_d2","D9_d3","D9_d4","D9_d5"
"(-)-Nortrachelogenin",0,0,0,0,0,5.532246e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.647106e-05
"(-)-β-Bourbonene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070932488,0,0,0,0,0,0,0,0,0,0,0,0
"(+)-di-O-4-Toluoyl-D-tartaric acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007418979,0,0,0,0,0,0
"(±)-2-Azabicyclo[2.2.1]hept-5-en-3-one",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001936454,0,0,0,0,0,0
"(1H)Pyrrole-3-carbonitrile, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000179298
"(2-Aziridinylethyl)amine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00512554633333333,0,0,0,0,0,0,0,0,0,0.0155580341333333,0,0,0.0001269976,0,0,0,0,0,0
"(3-Cyclohexyl-5-hydroxy-5-trifluoromethyl-4,5-dihydro-pyrazol-1-yl)-(4-methoxy-phenyl)-methanone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004027467,0,0,0,0,0,0,0
"(3aR,4R,8R,8aS)-3a,4,7,8a-Tetramethyl-1,2,3,3a,4,5,8,8a-octahydro-4,8-methanoazulene",0.00972862616666667,0,0.005521534325,0,0.01306140795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00640987473333333,0.0447675460333333,0.00455329266666667,0,0.001757829
"(3aR,4R,8R,8aS)-3a,4,8a-Trimethyl-7-methylenedecahydro-4,8-methanoazulene-rel-",0,0,0.0418267534,0,0,0.01501077,0,1741574.33333333,4221839,0,0,0.00318644466666667,0,0,0.00166680153333333,0.00760741946666667,0,0.00320681253333333,0,0,0.00391574896666667,0,0,0.0294965694666667,0,0,0,0,0.007577504,0.0144867,0.0131516064333333,0,0,0,0,0
"(3R,3aR,7R,8aS)-3,8,8-Trimethyl-6-methyleneoctahydro-1H-3a,7-methanoazulene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015724,0,0,0,0,0,0
"(CH3)2C=CHCN",0,0,0,0,0,0.005817581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(E)-1-(4-Hydroxy-3-methoxyphenyl)dodec-3-en-5-one",0,0,0,0,0,0,70425.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(E)-1-(4-Hydroxy-3-methoxyphenyl)hexadec-3-en-5-one",0,0,0,0,0,5.915908e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(E)-4,8-Dimethylnona-1,3,7-triene",0,0.0869083554666667,0,0,0.00939523105,0.002118924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004357796,0,0,0.00412550686666667,0,0.00406344633333333,0,0.002592957
"(R)-(-)-2-Amino-1-propanol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004156739,0,0,0,0,0,0
"(S)-(+)-1-Cyclohexylethylamine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008278569
"(S)-(+)-1,2-Propanediol",0.0940839467333333,0,0,0,0,0.002660451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00419041636666667,0.0009858223,0,0,0,0.00312106,0.0001935219,0,0,0,0,0,0
"(Z)-2-Heptene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006639713
"(Z)-3-Heptene",0,0,0,0,0,0.006609418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[1,1':3',1''-Terphenyl]-2'-ol",0,0,0,0,0,0.02064659,1350334.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-(1'-pyrrolidinyl)-2-butanone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004245621,0,0,0,0,0,0,0
"1-(2,4-Dihydroxyphenyl)-2-(4-methoxy-3-nitrophenyl)ethanone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.904649e-05,0,0,0,0,0,0,0
"1-(benzo[d][1,3]dioxol-4-yl)-2-(piperidin-1-yl)pentan-1-one",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.395614e-06,0,0,0,0,0,0
"1-(Benzyloxy)-3,5-dinitrobenzene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005552519,0,0,0,0,0,0,0
"1-[(1-Oxo-2-propenyl)oxy]-2,5-pyrrolidinedione",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000291048465666667,0,0,0,0.002862829,0,0,0,0.000252026966666667,0,0
